conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1943689467610775563,Fri Jul 11 15:40:42 +0000 2025,0,@trmlynrzky Aamiin kak soalnya merealisasikan #kaburajadulu But thank youuu,1943696959744999870,,trmlynrzky,in,,0,1,0,https://x.com/undefined/status/1943696959744999870,460157046,
1943101764548595961,Fri Jul 11 15:13:11 +0000 2025,0,@ms_right_s Bantu jawab kak belakangan yg masih sering dibahas itu 19 jeti lapangan pekerja🅰️n Ⓜ️🅱️G sama Indonesia ©emas KaburAjaDulu itu termasuk yg sentimennya positif dan juga masih lumayan sering dibahas,1943690035892748773,,ms_right_s,in,,0,0,0,https://x.com/undefined/status/1943690035892748773,1911724740433330176,
1943683518090850468,Fri Jul 11 14:47:17 +0000 2025,6,Alasan para kaum kalah yang ga jadi #KaburAjaDulu . Di Negara Sendiri aja kelakuan mereka memalukan apalagi diluar Negeri. Makanya mereka cuma bisa rusuh https://t.co/MBlFZbZvfw,1943683518090850468,https://pbs.twimg.com/media/GvlZ2aAW4AEiZzz.jpg,,in,,0,1,1,https://x.com/undefined/status/1943683518090850468,1351168237342490628,
1943668319829008477,Fri Jul 11 14:12:14 +0000 2025,0,@22O612 asik #kaburajadulu,1943674697352401030,,22O612,eu,,0,0,0,https://x.com/undefined/status/1943674697352401030,44968788,
1943664012891242647,Fri Jul 11 13:36:51 +0000 2025,0,@ohyeuj LHO???? Kan #KaburAjaDulu.,1943665793998225487,,ohyeuj,in,,0,1,0,https://x.com/undefined/status/1943665793998225487,843319664973246464,
1943655188713144729,Fri Jul 11 13:24:02 +0000 2025,0,@driedflovver untung si igi cukup bahagia dengan kaburajadulu ke wonosobo,1943662567064559696,,driedflovver,in,,0,0,0,https://x.com/undefined/status/1943662567064559696,1254460970459705345,
1943662101282615442,Fri Jul 11 13:22:11 +0000 2025,1,kalau teman teman punya niat untuk #KaburAjaDulu mending urungkan buat beli keduanya ,1943662101282615442,,,in,,0,2,0,https://x.com/undefined/status/1943662101282615442,3317699376,
1942871430695407646,Fri Jul 11 13:10:33 +0000 2025,0,@ueda_yoga @ARSIPAJA kan udah paling bener #KaburAjaDulu yuk,1943659175952757109,,ueda_yoga,in,,0,0,0,https://x.com/undefined/status/1943659175952757109,1373973255623639040,
1942914639882604995,Fri Jul 11 12:44:32 +0000 2025,1,@AlvChrist Saya sebaliknya. Memutuskan utk kembali setelah sempat hidup di luar sana bergaul dgn orang lokal tiap hari nonton &amp; baca berita debat &amp; diskusi di media sana bergaul dgn sesama WNI (termasuk eksil) dan belajar sejarah Indonesia. Sudah #KaburAjaDulu jauh sebelum trend.,1943652628761895072,,AlvChrist,in,,0,0,0,https://x.com/undefined/status/1943652628761895072,804430458,
1943631613411180763,Fri Jul 11 12:40:56 +0000 2025,0,@silvirmist @BaseBDG maunya kaburajadulu,1943651723697860989,,silvirmist,in,,0,0,0,https://x.com/undefined/status/1943651723697860989,1383591413359669258,
1943647576936591626,Fri Jul 11 12:24:28 +0000 2025,59,Dari Rockhampton Queensland saya melihat sendiri bagaimana banyak teman Indonesia Working Holiday Visa mengadu nasib #KaburAjaDulu. Apa itu WHV kenapa favorit apa syaratnya bagaimana caranya menuju penduduk tetap Australia? Klik link videonya di bawah. Yang pasti hubungi https://t.co/wHLFDe6gyD,1943647576936591626,https://pbs.twimg.com/ext_tw_video_thumb/1943647343359741952/pu/img/wlOUFtDQnp789zKs.jpg,,in,,0,2,13,https://x.com/undefined/status/1943647576936591626,122804908,
1943631613411180763,Fri Jul 11 12:02:04 +0000 2025,0,@silvirmist @BaseBDG kaburajadulu,1943641940643152375,,silvirmist,in,,0,0,0,https://x.com/undefined/status/1943641940643152375,79712763,
1943631613411180763,Fri Jul 11 11:41:53 +0000 2025,1,@BaseBDG Mending stay di indo atau kaburajadulu?,1943636863539138676,,BaseBDG,in,,3,13,0,https://x.com/undefined/status/1943636863539138676,803939413529006080,
1943628059929980969,Fri Jul 11 11:06:55 +0000 2025,0,kalo ihan bawa gitar/bass gw bakal kaburajadulu,1943628059929980969,,,in,,0,0,0,https://x.com/undefined/status/1943628059929980969,1889285745149612034,
1943620362966581676,Fri Jul 11 10:40:07 +0000 2025,1,@KangManto123 Sudah sesuai skenario #KaburAjaDulu #TolakRUUKejaksaan,1943621315736584223,,KangManto123,in,,0,1,1,https://x.com/undefined/status/1943621315736584223,1849959206717358081,
